neckneck_ratio,forward_lean_z,shoulder_tilt,head_tilt,hand_to_face,pose_x,pose_y,wrist_elevated,has_phone,label
0.4777,1.1955,0.0518,0.0748,0.4749,-37.1616,-1.9943,1,0,Leaning on Desk
0.4628,0.906,0.0208,0.0475,0.4883,-39.0822,-2.0859,1,0,Leaning on Desk
0.558,0.8012,0.0129,0.0677,0.4689,-44.1605,2.3077,1,0,Leaning on Desk
0.6329,0.5841,0.0127,0.0095,1.4257,-42.3186,4.9622,1,0,Focused
0.4789,1.08,0.0327,0.0059,0.4879,-41.0927,0.1436,1,0,Leaning on Desk
0.4304,0.9516,0.1194,0.0597,0.374,-37.107,-8.1547,1,0,Leaning on Desk
0.6675,0.3041,0.0318,0.0106,999.0,-38.8425,-45.1364,0,0,Looking Away
0.6147,0.7071,0.0226,0.0226,1.411,-37.7087,1.9934,1,0,Focused
0.5383,0.8285,0.0224,0.0128,0.4904,-45.7844,-13.0403,1,0,Leaning on Desk
0.5431,0.8003,0.0032,0.0447,1.3782,-30.0103,2.922,1,0,Focused
0.0293,0.4842,0.0391,0.0163,999.0,0.0,0.0,0,0,Slouching
0.6582,0.2994,0.0213,0.0071,999.0,-33.8305,-49.5703,0,0,Looking Away
0.5871,0.6344,0.0506,0.0202,0.5133,-50.5573,-12.0123,1,0,Leaning on Desk
0.6469,0.2663,0.0184,0.0037,999.0,-32.3619,-50.9862,0,0,Looking Away
0.528,0.7758,0.1544,0.2223,0.6536,-50.9927,2.5335,1,0,Leaning on Desk
0.4706,0.9134,0.097,0.0285,999.0,0.0,0.0,0,0,Slouching
0.1226,0.8559,0.0218,0.0191,999.0,0.0,0.0,0,0,Slouching
0.1019,0.7697,0.116,0.034,999.0,0.0,0.0,0,0,Slouching
0.5961,0.5999,0.1232,0.0833,0.4507,-48.4417,-17.3455,1,0,Leaning on Desk
0.5489,0.7472,0.0032,0.0315,1.3657,-30.4149,2.1511,1,0,Focused
0.4655,1.0289,0.0325,0.0216,0.5564,0.0,0.0,1,0,Slouching
0.638,0.5309,0.0072,0.0179,1.3355,-44.0786,-6.5204,1,0,Focused
0.0034,0.5942,0.0345,0.0207,0.6139,0.0,0.0,1,0,Slouching
0.7107,0.1885,0.134,0.0284,1.3685,-33.5571,51.81,0,0,Looking Away
0.5611,0.7917,0.0,0.0825,0.4192,-41.9362,9.1138,1,0,Leaning on Desk
0.6074,0.5185,0.0522,0.0149,1.4625,-38.0132,0.1895,0,0,Focused
0.6257,0.5206,0.0296,0.0037,1.4579,-37.534,0.2573,0,0,Focused
0.0301,1.2034,0.0493,0.0493,999.0,0.0,0.0,0,0,Slouching
0.012,1.155,0.018,0.003,999.0,0.0,0.0,0,0,Slouching
0.0697,1.1296,0.0214,0.0429,0.3484,0.0,0.0,1,0,Slouching
