neckneck_ratio,forward_lean_z,shoulder_tilt,head_tilt,hand_to_face,pose_x,pose_y,wrist_elevated,label
0.7029,0.2536,0.1047,0.0411,1.4763,-39.7045,41.6751,0,Looking Away
0.4368,1.1904,0.0701,0.0162,999.0,0.0,0.0,0,Slouching
0.0407,0.525,0.0877,0.0345,999.0,0.0,0.0,0,Slouching
0.6005,0.9624,0.0462,0.0,999.0,-44.4109,-166.4055,0,Focused
0.6055,0.5796,0.0371,0.0149,1.4714,-35.9006,-1.6111,0,Focused
0.5901,0.4155,0.0776,0.0093,999.0,-39.9693,-124.6547,0,Looking Away
0.6079,0.4814,0.0686,0.0031,999.0,-36.877,-131.1594,0,Looking Away
0.4314,1.131,0.0674,0.0081,999.0,0.0,0.0,0,Slouching
0.6251,0.7215,0.0698,0.02,999.0,-46.9775,-164.146,0,Focused
0.5441,0.839,0.0038,0.0,999.0,-48.3256,-0.4138,0,Focused
0.5106,0.9504,0.0122,0.0091,0.4284,-46.023,-4.3743,1,Leaning on Desk
0.6055,0.7381,0.0893,0.0529,999.0,-45.5491,154.5096,0,Looking Away
0.5624,0.5242,0.0569,0.0126,999.0,0.0,0.0,0,Looking Away
0.6048,0.5866,0.0686,0.0062,999.0,-44.48,-139.9133,0,Looking Away
0.0922,0.317,0.1403,0.0521,0.572,0.0,0.0,1,Slouching
0.5866,0.7189,0.1709,0.0142,999.0,-41.2658,140.9697,0,Looking Away
0.0548,0.282,0.0548,0.0091,999.0,0.0,0.0,0,Slouching
0.542,0.8432,0.0,0.0038,999.0,-47.3428,-1.0502,0,Focused
0.2319,1.0743,0.032,0.0267,999.0,0.0,0.0,0,Slouching
0.5841,0.3975,0.0553,0.0079,999.0,-67.9691,-38.2736,0,Looking Away
0.5893,0.6706,0.0319,0.0119,999.0,-79.6354,-19.2805,0,Looking Away
0.5328,0.7839,0.1558,0.2212,0.5932,-50.5294,1.597,1,Leaning on Desk
0.4802,0.7418,0.1353,0.2063,0.2762,-52.5558,-11.2165,1,Leaning on Desk
0.5869,0.5695,0.1681,0.0171,999.0,-47.4201,140.7001,0,Looking Away
0.5498,0.799,0.03,0.0333,1.3638,-29.7109,-0.8651,1,Focused
0.4887,0.7583,0.0193,0.0643,0.4678,-42.6225,0.6727,1,Leaning on Desk
0.5993,0.4524,0.0693,0.0208,999.0,0.0,0.0,0,Looking Away
0.5946,0.5183,0.0595,0.0063,999.0,-40.8168,-139.6918,0,Looking Away
0.6503,0.4919,0.0277,0.0138,999.0,-47.1485,-143.201,0,Looking Away
0.5941,0.6856,0.1649,0.0227,999.0,-50.1439,148.2166,0,Looking Away
0.5693,0.6015,0.1576,0.0096,999.0,0.0,0.0,0,Looking Away
0.6299,0.8172,0.1166,0.04,999.0,-49.3449,161.7576,0,Focused
0.0135,0.5546,0.0649,0.0352,999.0,0.0,0.0,0,Slouching
0.1743,0.4829,0.3735,0.1245,999.0,0.0,0.0,0,Slouching
0.6033,0.9221,0.0491,0.0029,999.0,-44.5498,-163.6764,0,Focused
0.5236,0.683,0.1496,0.1789,0.497,-45.3777,-0.0414,1,Leaning on Desk
0.5764,0.3409,0.0651,0.0062,999.0,-35.1753,-123.8383,0,Looking Away
0.648,0.4941,0.0276,0.0138,999.0,-46.2033,-142.9906,0,Looking Away
0.6318,0.6822,0.051,0.0034,999.0,-45.7175,-158.6528,0,Focused
0.6022,0.9136,0.0631,0.0172,999.0,-46.242,-178.8868,0,Focused
0.6784,0.2464,0.0365,0.0036,999.0,-40.9935,-48.7331,0,Looking Away
0.5972,0.6636,0.1621,0.0256,999.0,-50.2239,148.9841,0,Looking Away
0.6048,0.4867,0.0825,0.0447,999.0,-40.5744,138.8729,0,Looking Away
0.5474,0.8061,0.0095,0.0411,1.3804,-27.096,3.4831,1,Focused
0.5663,0.7696,0.0266,0.0114,1.2508,-73.7067,18.1807,1,Looking Away
0.5956,0.5934,0.0675,0.0123,999.0,-46.6215,-145.3973,0,Looking Away
0.6074,0.5185,0.0522,0.0149,1.4625,-38.0132,0.1895,0,Focused
0.5431,0.8245,0.0064,0.0447,1.3838,-28.0906,2.6965,1,Focused
0.5794,0.8668,0.1639,0.0283,999.0,-42.4429,147.8206,0,Looking Away
0.5955,0.6157,0.082,0.0152,999.0,-46.7051,-150.9111,0,Looking Away
0.5383,0.8218,0.0224,0.0192,0.4888,-44.8995,-14.0063,1,Leaning on Desk
0.5954,0.6025,0.0706,0.0123,999.0,-46.4133,-145.5359,0,Looking Away
0.5908,0.4761,0.0751,0.0341,999.0,-37.6535,131.573,0,Looking Away
0.5635,0.8712,0.0098,0.0098,0.4844,-48.9733,-14.4139,1,Leaning on Desk
0.5014,0.9539,0.015,0.036,0.6263,-43.6816,1.3246,1,Leaning on Desk
0.5862,0.9852,0.0926,0.0477,999.0,-45.2528,155.1294,0,Focused
0.5866,0.6172,0.0886,0.0458,999.0,-42.842,140.303,0,Looking Away
0.5878,0.734,0.1704,0.0199,999.0,-41.6467,144.1296,0,Looking Away
0.674,0.1856,0.0487,0.0203,1.75,0.0,0.0,0,Looking Away
0.676,0.1804,0.0644,0.0241,1.7271,0.0,0.0,0,Looking Away
0.6398,0.7652,0.0096,0.0129,1.4296,-43.4823,1.3664,1,Focused
0.4515,0.8867,0.0531,0.0292,0.5469,-45.031,-2.9201,1,Leaning on Desk
0.5841,0.715,0.0159,0.0286,1.389,-32.8716,3.1556,1,Focused
0.5751,0.8444,0.175,0.0344,999.0,-41.9915,142.9792,0,Looking Away
0.585,0.737,0.1704,0.017,999.0,-42.5095,142.8111,0,Looking Away
0.6317,0.7224,0.0543,0.0068,999.0,-45.7653,-158.2914,0,Focused
0.4975,0.7051,0.0606,0.0957,0.3961,-48.598,2.9122,1,Leaning on Desk
0.6677,0.1837,0.032,0.008,1.7042,0.0,0.0,0,Looking Away
0.4809,0.8416,0.0319,0.0232,0.4486,-51.3457,1.0296,1,Leaning on Desk
0.4187,0.8103,0.1205,0.1205,0.3457,-41.1099,-9.5207,1,Leaning on Desk
0.5766,0.3702,0.0865,0.0192,999.0,0.0,0.0,0,Looking Away
0.5418,0.8452,0.044,0.0271,1.3639,-30.2276,-1.0206,1,Focused
0.5883,0.4037,0.104,0.0195,999.0,0.0,0.0,0,Looking Away
0.5942,0.4532,0.0792,0.0264,999.0,-34.3923,129.3879,0,Looking Away
0.6309,0.7677,0.0805,0.0268,999.0,-45.4757,-177.7703,0,Focused
0.5913,1.0144,0.0905,0.0481,999.0,-46.4613,158.9372,0,Focused
0.5974,0.7872,0.0929,0.0365,999.0,-38.8903,154.949,0,Looking Away
0.6003,0.5812,0.0708,0.0123,999.0,-47.5496,-146.7535,0,Looking Away
0.5485,0.7365,0.026,0.0454,1.4071,-32.5704,4.0816,0,Focused
0.4372,1.2597,0.0633,0.0259,0.5361,-35.2948,-6.0748,1,Leaning on Desk
0.5878,0.6019,0.1704,0.017,999.0,-46.0213,139.9553,0,Looking Away
0.6695,0.1807,0.0601,0.02,1.7425,0.0,0.0,0,Looking Away
0.5847,0.7199,0.1731,0.0142,999.0,-41.729,141.091,0,Looking Away
0.3911,1.0501,0.0,0.0,999.0,0.0,0.0,0,Slouching
0.5515,0.784,0.0334,0.0334,1.3901,-25.731,-1.0078,1,Focused
0.6005,0.9419,0.0462,0.0,999.0,-44.6635,-166.1264,0,Focused
0.6236,0.551,0.1186,0.0102,999.0,-47.4747,143.0087,0,Looking Away
0.5931,0.4995,0.0686,0.0137,999.0,0.0,0.0,0,Looking Away
0.6317,0.7763,0.0543,0.0034,999.0,-46.0857,-158.5002,0,Focused
0.5482,0.793,0.0301,0.0334,1.3873,-25.8221,-1.4034,1,Focused
0.6289,0.8384,0.0998,0.0499,999.0,-45.7718,154.7904,0,Focused
0.5903,0.3776,0.0746,0.0093,999.0,-35.8153,-123.5009,0,Looking Away
0.4566,0.8675,0.0028,0.0084,0.5046,-46.225,-3.0202,1,Leaning on Desk
0.4717,0.7835,0.0126,0.0849,0.4428,-42.0634,0.7131,1,Leaning on Desk
0.0611,1.0434,0.0586,0.0382,999.0,0.0,0.0,0,Slouching
0.5823,0.8675,0.1639,0.0311,999.0,-42.9494,148.3821,0,Looking Away
0.0489,0.2621,0.0061,0.0245,0.4762,0.0,0.0,1,Slouching
0.5966,0.6072,0.0848,0.0121,999.0,-46.2938,-150.4812,0,Looking Away
0.6318,0.8457,0.0698,0.0299,999.0,-48.2608,168.4065,0,Focused
0.593,0.444,0.0762,0.0265,999.0,-35.2098,130.104,0,Looking Away
0.6075,0.3965,0.0779,0.0062,999.0,-36.5641,-131.939,0,Looking Away
0.4808,0.7682,0.0088,0.0029,0.5461,-42.7827,-1.8672,1,Leaning on Desk
0.5714,0.7405,0.0133,0.0332,1.3552,-34.3292,0.5087,1,Focused
0.6031,0.8045,0.019,0.0222,1.408,-40.0283,4.4506,0,Focused
0.5694,0.5758,0.0069,0.0347,1.4133,-34.7397,0.1249,0,Focused
0.3759,1.2864,0.0179,0.023,999.0,0.0,0.0,0,Slouching
0.5615,0.4713,0.0593,0.0156,999.0,-30.3315,119.692,0,Looking Away
0.6016,0.5759,0.1025,0.0205,999.0,-40.0016,140.5542,0,Looking Away
0.2171,0.6735,0.0648,0.013,999.0,0.0,0.0,0,Slouching
0.5985,0.6339,0.0706,0.0123,999.0,-46.8048,-148.4185,0,Looking Away
0.6016,0.9453,0.0489,0.0029,999.0,-45.4434,-173.2792,0,Focused
0.6051,0.924,0.0492,0.0029,999.0,-44.5498,-164.3641,0,Focused
0.5963,0.6111,0.1005,0.0301,999.0,-36.7762,147.7118,0,Looking Away
0.5915,0.3937,0.0743,0.0093,999.0,0.0,0.0,0,Looking Away
0.5962,0.4784,0.0754,0.0171,999.0,0.0,0.0,0,Looking Away
0.6018,0.4443,0.0655,0.0062,999.0,-35.4161,-132.3966,0,Looking Away
0.0183,0.8429,0.0856,0.0183,0.5188,0.0,0.0,1,Slouching
0.5994,0.601,0.1056,0.0238,999.0,-36.3314,145.8949,0,Looking Away
